2018 rank,City,State,2018 estimate,2010 census,Percentage Change,2016 land area km2,2016 population density per km2,Time zone,Website
289,Davie, Florida,106558,91992,+15.83,90.4 ,"1,127",UTC-5 (EST),http://www.davie-fl.gov
290,West Covina, California,106311,106098,+0.20,41.4 ,"2,600",UTC−8 (PST),http://www.westcovina.org
291,League City, Texas,106244,83560,+27.15,132.6 ,769,UTC-6 (Central (CST)),http://www.leaguecitytx.gov/
292,Tyler, Texas,105729,96900,+9.11,146.6 ,715,UTC−6 (Central),http://www.cityoftyler.org
293,Norwalk, California,105120,105549,−0.41,25.1 ,"4,226",UTC−8 (Pacific),http://www.norwalk.org
294,San Mateo, California,105025,97207,+8.04,31.3 ,"3,317",UTC−8 (Pacific),http://www.cityofsanmateo.org
295,Green Bay, Wisconsin,104879,104057,+0.79,117.6 ,894,UTC−6 (Central),http://greenbaywi.gov
296,Wichita Falls, Texas,104576,104553,+0.02,187.0 ,560,UTC−6 (CST),http://www.wichitafallstx.gov
297,Sparks, Nevada,104246,90264,+15.49,93.0 ,"1,080",UTC−8 (PST),http://cityofsparks.us
298,Lakewood, New Jersey,104157,92843,+12.19,64.0 ,"1,575",UTC-5 (Eastern (EST)),http://www.lakewoodnj.gov/
299,Burbank, California,103695,103340,+0.34,45.1 ,"2,318",UTC−8 (Pacific),http://www.burbankca.gov
300,Rialto, California,103440,99171,+4.30,57.8 ,"1,789",UTC−8 (Pacific Time Zone),http://www.rialtoca.gov
301,Allen, Texas,103383,84246,+22.72,70.2 ,"1,434",UTC-6 (CST),http://www.cityofallen.org
302,El Cajon, California,103241,99478,+3.78,37.6 ,"2,763",UTC−8 (Pacific),http://www.ci.el-cajon.ca.us
303,Las Cruces, New Mexico,102926,97618,+5.44,199.2 ,511,UTC-7 (Mountain),http://www.las-cruces.org
304,Renton, Washington,102153,90927,+12.35,60.6 ,"1,666",UTC−8 (PST),http://www.rentonwa.gov/
305,Davenport, Iowa,102085,99685,+2.41,162.9 ,630,UTC−6 (CST),http://www.cityofdavenportiowa.com/
306,South Bend, Indiana,101860,101168,+0.68,107.2 ,949,UTC−5 (EST),http://www.southbendin.gov
307,Vista, California,101224,93834,+7.88,48.4 ,"2,099",UTC−8 (Pacific Time Zone),http://www.cityofvista.com
308,Tuscaloosa, Alabama,101113,90468,+11.77,185.7 ,540,UTC−6 (CST),http://www.tuscaloosa.com/
309,Clinton, Michigan,100800,96796,+4.14,72.8 ,"1,380",UTC-5 (Eastern (EST)),https://clintontownship.com/index.html
310,Edison, New Jersey,100693,99967,+0.73,78.0 ,"1,309",UTC−5 (Eastern (EST)),http://www.edisonnj.org/
311,Woodbridge, New Jersey,100450,99585,+0.87,60.3 ,"1,680",UTC−5 (Eastern (EST)),http://www.twp.woodbridge.nj.us/
312,San Angelo, Texas,100215,93200,+7.53,155.1 ,649,UTC−6 (CST),http://www.cosatx.us/
313,Kenosha, Wisconsin,100164,99218,+0.95,72.5 ,"1,381",UTC−6 (CST),http://www.kenosha.org/
314,Vacaville, California,100154,92428,+8.36,75.1 ,"1,332",UTC−8 (Pacific),http://www.cityofvacaville.com
