2018 rank,City,State,2018 estimate,2010 census,Percentage Change,2016 land area km2,2016 population density per km2,Time zone,Website
110,Moreno Valley, California,209050,193365,+8.11,132.9 ,"1,547",UTC−8 (Pacific),http://www.moreno-valley.ca.us
111,Rochester, New York,206284,210565,−2.03,92.7 ,"2,253",UTC−5 (EST),https://www.cityofrochester.gov
112,Glendale, California,201361,191719,+5.03,78.7 ,"2,551",UTC−8 (Pacific),http://glendaleca.gov
113,Huntington Beach, California,200641,189992,+5.60,69.7 ,"2,880",UTC−8 (Pacific),http://huntingtonbeachca.gov
114,Salt Lake City, Utah,200591,186440,+7.59,288.0 ,673,UTC−7 (Mountain),http://www.slcgov.com
115,Grand Rapids, Michigan,200217,188040,+6.48,115.0 ,"1,708",UTC-5 (EST),http://www.grcity.us/
116,Amarillo, Texas,199924,190695,+4.84,262.6 ,760,UTC−6 (CST),http://www.amarillo.gov
117,Yonkers, New York,199663,195976,+1.88,46.6 ,"4,307",UTC-5 (EST),http://www.yonkersny.gov/
118,Aurora, Illinois,199602,197899,+0.86,116.3 ,"1,729",UTC−6 (CST),http://www.aurora-il.org
119,Montgomery, Alabama,198218,205764,−3.67,413.9 ,483,UTC−6 (CST),http://montgomeryal.gov
120,Akron, Ohio,198006,199110,−0.55,160.6 ,"1,231",UTC-5 (Eastern (EST)),http://akronohio.gov
121,Little Rock, Arkansas,197881,193524,+2.25,307.4 ,646,UTC-6 (CST),http://www.littlerock.gov
122,Huntsville, Alabama,197318,180105,+9.56,552.7 ,349,UTC−6 (CST),https://www.huntsvilleal.gov/
123,Augusta, Georgia,196939,195844,+0.56,783.5 ,252,UTC-5 (EST),http://www.augustaga.gov
124,Port St. Lucie, Florida,195248,164603,+18.62,307.9 ,601,UTC−5 (Eastern (EST)),https://www.cityofpsl.com/
125,Grand Prairie, Texas,194614,175396,+10.96,187.3 ,"1,018",UTC-6 (CST),https://www.gptx.org
126,Columbus, Georgia,194160,189885,+2.25,560.5 ,353,UTC−5 (EST),http://www.columbusga.gov/
127,Tallahassee, Florida,193551,181376,+6.71,260.0 ,734,UTC−5 (Eastern (EST)),http://www.talgov.com
128,Overland Park, Kansas,192536,173372,+11.05,194.5 ,971,UTC-6 (CST),http://www.opkansas.org
129,Tempe, Arizona,192364,161719,+18.95,103.6 ,"1,761",UTC−7 (MST (no DST)),http://www.tempe.gov
130,McKinney, Texas,191645,131117,+46.16,163.2 ,"1,056",UTC−6 (CST),http://www.mckinneytexas.org
131,Mobile, Alabama,189572,195111,−2.84,361.0 ,534,UTC−6 (CST),http://www.cityofmobile.org/
132,Cape Coral, Florida,189343,154305,+22.71,273.5 ,658,UTC−05:00 (EST),http://www.capecoral.net
133,Shreveport, Louisiana,188987,199311,−5.18,277.4 ,700,UTC−6 (CST),http://www.shreveportla.gov
134,Frisco, Texas,188170,116989,+60.84,175.3 ,933,UTC-6 (CST),http://www.friscotexas.gov
135,Knoxville, Tennessee,187500,178874,+4.82,255.1 ,730,UTC−5 (EST),http://www.knoxvilletn.gov
136,Worcester, Massachusetts,185877,181045,+2.67,96.9 ,"1,905",UTC-5 (Eastern),http://www.worcesterma.gov
137,Brownsville, Texas,183392,175023,+4.78,343.2 ,536,UTC-6 (CST),http://www.cob.us
138,Vancouver, Washington,183012,161791,+13.12,121.5 ,"1,439",UTC−8 (Pacific),http://www.cityofvancouver.us/
139,Fort Lauderdale, Florida,182595,165521,+10.32,89.6 ,"1,995",UTC−5 (Eastern (EST)),http://www.fortlauderdale.gov
140,Sioux Falls, South Dakota,181883,153888,+18.19,195.3 ,893,UTC−6 (Central),http://www.SiouxFalls.org
141,Ontario, California,181107,163924,+10.48,129.2 ,"1,340",UTC−8 (Pacific),http://www.ontarioca.gov/
142,Chattanooga, Tennessee,180557,167674,+7.68,370.6 ,479,UTC-5 (EST),http://www.chattanooga.gov/
143,Providence, Rhode Island,179335,178042,+0.73,47.7 ,"3,760",UTC−5 (Eastern Time Zone),http://www.providenceri.com
144,Newport News, Virginia,178626,180719,−1.16,179.0 ,"1,016",UTC−5 (EST),http://www.nnva.gov
145,Rancho Cucamonga, California,177751,165269,+7.55,103.6 ,"1,704",UTC−8 (PST),http://www.cityofrc.us
146,Santa Rosa, California,177586,167815,+5.82,107.0 ,"1,637",UTC−8 (Pacific),http://ci.santa-rosa.ca.us
147,Oceanside, California,176080,167086,+5.38,107.0 ,"1,641",UTC−8 (Pacific),http://www.ci.oceanside.ca.us
148,Salem, Oregon,173442,154637,+12.16,125.9 ,"1,330",UTC−8 (PST),http://cityofsalem.net
149,Elk Grove, California,172886,153015,+12.99,109.3 ,"1,553",UTC-8 (Pacific),http://elkgrovecity.org
150,Garden Grove, California,172646,170883,+1.03,46.6 ,"3,751",UTC-8 (Pacific),http://www.ggcity.org
151,Pembroke Pines, Florida,172374,154019,+11.92,85.5 ,"1,973",UTC−5 (Eastern (EST)),http://www.ppines.com/
152,Peoria, Arizona,172259,154065,+11.81,455.1 ,361,UTC−7 (MST (no DST)),http://www.peoriaaz.gov/
153,Eugene, Oregon,171245,156185,+9.64,114.2 ,"1,458",UTC-8 (PST),http://www.eugene-or.gov/
154,Corona, California,168819,152374,+10.79,102.3 ,"1,630",UTC-8 (Pacific),http://www.discovercorona.com/
155,Cary, North Carolina,168160,135234,+24.35,146.3 ,"1,109",UTC-5 (EST),https://www.townofcary.org
156,Springfield, Missouri,168122,159498,+5.41,213.2 ,785,UTC−6 (CST),http://www.springfieldmo.gov/
157,Fort Collins, Colorado,167830,143986,+16.56,144.5 ,"1,136",UTC−7 (MST),http://fcgov.com
158,Jackson, Mississippi,164422,173514,−5.24,287.5 ,588,UTC−6 (CST),http://www.jacksonms.gov
159,Alexandria, Virginia,160530,139966,+14.69,38.8 ,"4,010",UTC-5 (EST),http://www.alexandriava.gov
160,Hayward, California,159620,144186,+10.70,117.8 ,"1,349",UTC−8 (Pacific),http://www.hayward-ca.gov
161,Lancaster, California,159053,156633,+1.55,244.2 ,656,UTC-8 (Pacific),http://www.cityoflancasterca.org
162,Lakewood, Colorado,156798,142980,+9.66,111.1 ,"1,390",UTC-7 (MST),http://www.ci.lakewood.co.us/
163,Clarksville, Tennessee,156794,132929,+17.95,254.6 ,590,UTC−6 (CST),http://www.cityofclarksville.com/
164,Palmdale, California,156667,152750,+2.56,274.5 ,573,UTC−8 (Pacific Time Zone),http://www.cityofpalmdale.org
165,Salinas, California,156259,150441,+3.87,61.1 ,"2,572",UTC−8 (Pacific),http://www.cityofsalinas.org
166,Springfield, Massachusetts,155032,153060,+1.29,82.6 ,"1,860",UTC−5 (Eastern),http://www.springfield-ma.gov
167,Hollywood, Florida,154823,140768,+9.98,70.7 ,"2,150",UTC−5 (EST),http://www.hollywoodfl.org/
168,Pasadena, Texas,153219,149043,+2.80,112.7 ,"1,361",UTC−6 (CST),http://www.ci.pasadena.tx.us/
169,Sunnyvale, California,153185,140081,+9.35,57.0 ,"2,681",UTC−8 (PST),http://sunnyvale.ca.gov
170,Macon, Georgia,153095,91351,+67.59,645.7 ,236,UTC−5 (EST),http://maconbibb.us/
